TimeStamps,RShoulder_x,RShoulder_y,RShoulder_z,RIndex3DIP_x,RIndex3DIP_y,RIndex3DIP_z,RIndex4FingerTip_x,RIndex4FingerTip_y,RIndex4FingerTip_z,RMiddle1Knuckles_x,RMiddle1Knuckles_y,RMiddle1Knuckles_z,RMiddle2PIP_x,RMiddle2PIP_y,RMiddle2PIP_z,RMiddle3DIP_x,RMiddle3DIP_y,RMiddle3DIP_z,RMiddle4FingerTip_x,RMiddle4FingerTip_y,RMiddle4FingerTip_z,RRing1Knuckles_x,RRing1Knuckles_y,RRing1Knuckles_z,RRing2PIP_x,RRing2PIP_y,RRing2PIP_z,RRing3DIP_x,RRing3DIP_y,RRing3DIP_z,RRing4FingerTip_x,RRing4FingerTip_y,RRing4FingerTip_z,RWrist_x,RWrist_y,RWrist_z,RPinky1Knuckles_x,RPinky1Knuckles_y,RPinky1Knuckles_z,RPinky2PIP_x,RPinky2PIP_y,RPinky2PIP_z,RPinky3DIP_x,RPinky3DIP_y,RPinky3DIP_z,RPinky4FingerTip_x,RPinky4FingerTip_y,RPinky4FingerTip_z,RPalmBase_x,RPalmBase_y,RPalmBase_z,RThumb1CMC_x,RThumb1CMC_y,RThumb1CMC_z,RThumb2Knuckles_x,RThumb2Knuckles_y,RThumb2Knuckles_z,RThumb3IP_x,RThumb3IP_y,RThumb3IP_z,RThumb4FingerTip_x,RThumb4FingerTip_y,RThumb4FingerTip_z,RIndex1Knuckles_x,RIndex1Knuckles_y,RIndex1Knuckles_z,RIndex2PIP_x,RIndex2PIP_y,RIndex2PIP_z
1598532544.38,-0.1821751,-0.055643,0.4234717,0.0,0.0,0.0,-0.3663674,0.030682,0.1249963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3655635,0.0111891,0.1012921,-0.3466854,-0.0351706,0.0578228,-0.3197194,-0.0590901,0.023926,-0.3017434,-0.0729034,0.003404,-0.392894,0.0085147,0.097479,-0.3707681,-0.0317081,0.0530584,-0.3303814,-0.074644,0.0118568,-0.3077788,-0.0878565,-0.0084511,-0.3929366,-0.0137409,0.0814605,-0.3738033,-0.0525691,0.0410323,-0.3419388,-0.0839266,0.0060092,-0.325725,-0.0892225,-0.012091,-0.3937151,-0.0238638,0.0639874,-0.3786008,-0.0525613,0.0389733,-0.3527719,-0.0781594,0.0125895,-0.3403077,-0.086184,0.0008432
1598532544.87,0.0,0.0,0.0,-0.2786469,-0.0195695,0.0568135,-0.2814046,-0.0241493,0.0534387,-0.2482601,-0.0304357,0.0423014,-0.1427369,-0.1973851,-0.0234943,-0.1059039,-0.2216733,-0.0490216,-0.0807969,-0.234995,-0.0648402,-0.2406376,-0.061293,0.0110723,-0.2226207,-0.0882908,-0.0207675,-0.2016088,-0.1026508,-0.044625,-0.1752707,-0.1258535,-0.0715521,-0.2502571,-0.080277,-0.0061064,-0.2286228,-0.1035788,-0.0409573,-0.1898843,-0.1372394,-0.0787876,-0.1642593,-0.1501974,-0.0985534,-0.2549055,-0.0886456,-0.0210062,-0.2317002,-0.1199853,-0.0566483,-0.1982217,-0.1470123,-0.0880561,-0.1760157,-0.1667308,-0.1082349,-0.2408129,-0.1215523,-0.0435212,-0.2278041,-0.1324358,-0.0653592,-0.2091123,-0.1422916,-0.0846695,-0.1901241,-0.1549193,-0.0957824
1598532545.35,0.0,0.0,0.0,-0.1511758,-0.1355674,-0.0889821,-0.1538951,-0.1393852,-0.0914507,-0.0848062,-0.2410468,-0.114187,-0.045794,-0.2708483,-0.1382748,-0.0145181,-0.2946878,-0.1581437,0.0014643,-0.3069316,-0.1685422,-0.1031528,-0.1862316,-0.1510575,-0.0922313,-0.2093776,-0.1722615,-0.0741411,-0.2316287,-0.1961365,-0.0620642,-0.2490608,-0.2148405,-0.1122401,-0.208739,-0.1639659,-0.0946896,-0.2323118,-0.1935454,-0.0673465,-0.2544827,-0.2199423,-0.045881,-0.2739868,-0.2379517,-0.1226443,-0.2116501,-0.1692292,-0.1043757,-0.2408882,-0.2006548,-0.079173,-0.2614422,-0.2264524,-0.0575222,-0.2804758,-0.2457534,-0.1261528,-0.2172095,-0.1731778,-0.1055296,-0.2425783,-0.2024388,-0.0857413,-0.2589065,-0.2210844,-0.0782201,-0.2638927,-0.2282363
1598532545.83,0.0,0.0,0.0,-0.0946945,-0.1550751,-0.1169819,-0.0994715,-0.1534118,-0.114529,-0.0691005,-0.1575613,-0.1206342,-0.0399714,-0.1523433,-0.1234644,-0.0160099,-0.1799789,-0.1509238,-0.0177706,-0.1876754,-0.1572314,-0.0500592,-0.2083755,-0.1759268,-0.0298639,-0.229774,-0.201391,-0.028788,-0.2330884,-0.206823,-0.0435413,-0.2334292,-0.2027688,-0.044648,-0.224455,-0.195183,-0.0239015,-0.2488016,-0.2180445,-0.0148774,-0.2545115,-0.2286671,-0.004612,-0.2527583,-0.2356311,-0.0511119,-0.23311,-0.2006957,-0.0310495,-0.2544524,-0.2263798,-0.0192267,-0.2635096,-0.2353912,-0.0111213,-0.2669676,-0.2374211,-0.0599653,-0.2345001,-0.200406,-0.0429064,-0.2568797,-0.2243444,-0.0305592,-0.2668463,-0.2367009,-0.0359553,-0.2718748,-0.2398887
1598532546.31,0.0,0.0,0.0,0.0838797,-0.1383924,-0.1301665,0.067803,-0.1378471,-0.1292544,0.1069261,-0.1317046,-0.1305347,0.1702194,-0.229829,-0.156707,0.162055,-0.2236582,-0.1626015,0.1737819,-0.1958366,-0.2044504,0.1496309,-0.1726181,-0.1766414,0.1450746,-0.1991711,-0.2069259,0.1661059,-0.2225238,-0.2294526,0.1762698,-0.2127885,-0.2192993,0.1364822,-0.2016929,-0.2032298,0.1459577,-0.2087947,-0.2127157,0.1678233,-0.2222542,-0.2295088,0.1818653,-0.2319372,-0.241972,0.126377,-0.2079179,-0.2049321,0.1400217,-0.2210555,-0.2199364,0.1576524,-0.2274235,-0.2343131,0.1736686,-0.2389629,-0.2467486,0.1160828,-0.2120875,-0.2064839,0.1348254,-0.2218713,-0.2197663,0.1471781,-0.2264698,-0.2322124,0.1637429,-0.2410749,-0.2448117
1598532546.79,-0.0691333,-0.1231513,0.2888603,0.1617617,-0.2189779,-0.1514908,0.159801,-0.2187012,-0.1531288,0.2003979,-0.2338768,-0.1569742,0.2437316,-0.2647088,-0.1793351,0.2543847,-0.2803887,-0.2006378,0.2478643,-0.2860255,-0.2149631,0.2222893,-0.2582334,-0.1793204,0.2350467,-0.269834,-0.2053928,0.2470562,-0.2808935,-0.2240341,0.2588277,-0.2821943,-0.2370056,0.2032251,-0.2531455,-0.1929042,0.2219374,-0.2627847,-0.2252683,0.2419803,-0.2653161,-0.2435772,0.2587195,-0.2637258,-0.2566429,0.1893495,-0.2337255,-0.2025079,0.2063465,-0.2314407,-0.2330263,0.228979,-0.2365925,-0.2519296,0.2467944,-0.2528381,-0.262329,0.1705457,-0.2029551,-0.2099595,0.1934448,-0.2176645,-0.2319982,0.207213,-0.2279575,-0.2428015,0.220619,-0.2342164,-0.2499654
1598532548.24,-0.1518878,-0.0447758,0.4202228,-0.3117554,-0.0549099,0.0866171,-0.3034469,-0.0608611,0.0795015,-0.2831558,-0.0561594,0.0744232,0.0,0.0,0.0,-0.2522081,-0.058148,0.021867,-0.2343393,-0.0680838,-0.0068835,-0.2709799,-0.1088009,0.0432934,-0.2661373,-0.0954345,0.0188589,-0.2528646,-0.0908161,-0.0013878,-0.2373159,-0.0866025,-0.0194894,-0.2840383,-0.1283505,0.0325181,-0.2684064,-0.1318379,-0.0004192,-0.254787,-0.1140227,-0.021651,-0.2354989,-0.1140866,-0.038142,-0.3034873,-0.126049,0.0299931,-0.2878107,-0.1334862,-0.003856,-0.266861,-0.1258075,-0.0297552,-0.250834,-0.1198076,-0.0404238,-0.3069053,-0.1262699,0.0167534,-0.2927547,-0.1361435,-0.0106485,-0.2809968,-0.1354987,-0.0199669,-0.2730967,-0.1321754,-0.0262907
1598532548.73,-0.1762769,-0.0367742,0.436298,-0.3809392,0.0267461,0.1302724,-0.3808924,0.0366036,0.1357757,0.0,0.0,0.0,-0.2791159,-0.1197127,0.0343188,-0.278051,-0.132192,0.0089502,-0.2823738,-0.1338169,-0.013017,-0.3829014,0.0092753,0.0995057,0.0,0.0,0.0,-0.2936175,-0.1318297,0.0012878,-0.2827165,-0.1324772,-0.0170634,-0.3996449,-0.0032995,0.0948278,-0.3804839,-0.0454983,0.0455785,-0.3527196,-0.0734384,0.0112961,-0.3080999,-0.1223931,-0.0199063,-0.4047451,-0.0163874,0.0841547,-0.3898873,-0.0503815,0.040267,-0.366198,-0.0755546,0.0117372,-0.3392798,-0.0993369,-0.013256,-0.4103466,-0.0223429,0.0680391,-0.3991374,-0.0518339,0.0405697,-0.3731051,-0.0806127,0.0111025,-0.3646944,-0.0770746,0.00437
1598532549.21,-0.1893372,-0.0236374,0.4453366,-0.3837006,0.0419849,0.1375614,-0.3715227,0.0250116,0.12378,-0.3126175,-0.0574217,0.0811337,-0.274441,-0.1204061,0.0383223,-0.2753009,-0.1292116,0.0138704,-0.2773936,-0.1311515,-0.0062327,-0.3731315,0.0016649,0.0916259,0.0,0.0,0.0,-0.2895846,-0.135163,0.0002739,-0.2827165,-0.1324772,-0.0170634,-0.3900288,-0.0107707,0.0895854,-0.3799903,-0.0380839,0.0521694,-0.3482938,-0.0774564,0.012443,-0.3141638,-0.115359,-0.0180993,-0.3999437,-0.0156336,0.0839976,-0.387449,-0.0465918,0.0458064,-0.3639671,-0.0799171,0.0129559,-0.3433141,-0.0919841,-0.0115154,-0.4026296,-0.0276137,0.0711231,-0.3944141,-0.0476854,0.0460343,-0.374783,-0.0702028,0.0204811,-0.3641489,-0.0792065,0.0108094
1598532549.69,-0.2002155,-0.0093068,0.4518247,-0.3812631,0.0325211,0.1319662,0.0,0.0,0.0,-0.3158448,-0.0467804,0.0891804,-0.2762584,-0.1167638,0.0393768,-0.2753009,-0.1292116,0.0138704,-0.2775655,-0.1304794,-0.008263,-0.3681202,-0.0032382,0.0924906,-0.3569876,-0.0329285,0.0469211,-0.2917024,-0.1354955,0.0003432,-0.2823738,-0.1338169,-0.013017,-0.3902245,-0.0100058,0.0872752,-0.3754488,-0.0504049,0.0464636,-0.3522879,-0.0701409,0.0143094,-0.316311,-0.1156961,-0.0180291,-0.4000035,-0.0197509,0.0804215,-0.3899592,-0.0462195,0.0436567,-0.3639516,-0.0752019,0.0116637,-0.3414638,-0.0996798,-0.0131845,-0.4007509,-0.0345998,0.0642921,-0.3922447,-0.0554645,0.0416358,-0.3723886,-0.0740408,0.0171337,-0.364134,-0.0744889,0.0095102
